Goaltender,IceX,IceY,Save
Smith,77.16088786,67.49114055,Yes
Smith,41.20266937,74.99243076,Yes
Smith,41.86856231,25.24703251,Yes
Smith,4.578557957,47.3560984,Yes
Smith,36.20847236,22.48339928,Yes
Smith,35.54257943,68.28075004,Yes
Smith,10.90454084,53.67297437,No
Smith,63.84302916,19.71976604,Yes
Smith,55.85231394,67.49114055,Yes
Smith,12.23632671,55.25219336,Yes
Smith,78.15972726,59.98985034,Yes
Smith,43.53329465,50.90934113,Yes
Smith,34.21079356,68.28075004,Yes
Smith,75.49615552,63.14828832,Yes
Smith,15.23284492,35.11715121,Yes
Smith,3.246772088,51.69895063,Yes
Smith,81.15624547,58.80543609,Yes
Smith,73.49847672,25.64183726,Yes
Smith,61.17945742,74.20282126,Yes
Smith,65.5077615,7.086014106,Yes
Smith,49.52633106,26.43144676,Yes
Smith,49.85927753,40.64441768,Yes
Smith,32.21311475,61.17426458,Yes
Smith,61.84535036,62.75348357,Yes
Smith,72.83258378,44.19766042,Yes
Smith,20.55998839,39.46000344,Yes
Smith,17.89641665,25.64183726,Yes
Smith,5.57739736,51.30414588,Yes
Smith,51.52400987,22.87820403,Yes
Smith,63.51008269,38.2755892,Yes
Smith,34.54374003,66.3067263,Yes
Smith,72.83258378,49.33012214,Yes
Smith,65.5077615,49.72492689,Yes
Smith,44.19918758,31.56390848,Yes
Smith,51.1910634,65.51711681,Yes
Smith,46.19686639,24.45742302,Yes
Smith,24.22239954,16.16652331,Yes
Smith,39.20499057,69.46516429,Yes
Smith,50.85811693,16.16652331,Yes
Smith,14.89989845,30.37949424,Yes
Smith,40.53677644,50.90934113,Yes
Smith,19.56114899,34.72234646,Yes
Smith,37.8732047,23.27300877,Yes
Smith,58.84883215,21.29898503,Yes
Smith,69.83606557,41.03922243,Yes
Smith,79.15856666,79.33528299,Yes
Smith,2.91382562,33.14312747,Yes
Smith,79.8244596,37.09117495,Yes
Smith,24.22239954,60.77945983,Yes
Smith,63.84302916,41.82883193,Yes
Smith,75.49615552,61.56906933,Yes
Smith,21.5588278,37.88078445,Yes
Smith,62.51124329,71.04438328,Yes
Smith,79.8244596,34.32754172,Yes
Smith,74.83026259,63.93789782,Yes
Smith,44.53213405,65.51711681,Yes
Smith,26.88597128,60.77945983,Yes
Smith,4.24561149,53.27816962,Yes
Smith,60.18061802,65.51711681,Yes
Smith,46.86275932,24.85222777,Yes
Smith,7.575076164,67.8859453,Yes
Smith,39.87088351,26.43144676,No
Smith,2.91382562,50.90934113,Yes
Smith,70.50195851,52.88336487,Yes
Smith,19.89409546,42.22363668,Yes
Smith,23.88945307,29.98468949,Yes
Smith,14.89989845,63.54309307,Yes
Smith,71.83374438,52.48856012,Yes
Smith,78.82562019,21.29898503,Yes
Smith,58.51588568,65.91192156,Yes
Smith,44.53213405,24.06261827,Yes
Smith,21.22588133,22.08859453,Yes
Smith,80.15740606,44.98726991,Yes
Smith,45.19802698,34.72234646,Yes
Smith,73.83142318,61.56906933,Yes
Smith,71.83374438,61.96387408,Yes
Smith,4.911504425,31.95871323,Yes
Smith,64.17597563,42.22363668,Yes
Smith,22.89061367,39.46000344,Yes
Smith,14.23400551,63.14828832,Yes
Smith,54.85347454,43.01324617,Yes
Smith,30.88132888,37.09117495,Yes
Smith,46.86275932,24.45742302,Yes
Smith,26.55302481,40.64441768,Yes
Smith,32.54606122,65.51711681,No
Smith,51.52400987,15.77171856,No
Jones,12.90221964,46.17168416,Yes
Jones,35.54257943,26.82625151,Yes
Jones,37.54025823,18.5353518,Yes
Jones,2.247932685,55.64699811,Yes
Jones,49.52633106,20.90418029,Yes
Jones,71.50079791,53.67297437,Yes
Jones,9.239808501,46.17168416,Yes
Jones,37.8732047,58.41063134,Yes
